X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21
Mb,1,1,1,1,1,49,6.48,13,,1,3.8,6,7.1,16.9,0.015625,1.174,20.5,7.153,6.805,1.397
Mb,1,1,2,1,2,70,7.75,35,,2,5.8,7.3,6.9,20,0.259259259,1.08,19.85,7.882,5.35,6.792
Mb,1,1,3,1,3,61,6.67,21,,1,4.8,5.9,5.8,16.5,-0.11627907,0.933,19.06,6.976,7.421,8.483
Mb,1,1,4,1,4,29,5.11,14,,1,3.5,4.6,5.5,13.6,-0.909090909,1.021,15.81,8.614,4.989,4.787
Mb,1,1,5,2,1,32,4.94,14,,1,3.6,4.4,5.4,13.4,0.052631579,0.712,23.15,5.455,9.432,0.81
Mb,1,1,6,2,2,65.5,8.88,32,,5,5.9,9,8.1,23,0.109375,0.813,12.87,6.374,7.592,7.798
Mb,1,1,7,2,3,46,8.41,24,,2,4.6,7.7,7.3,19.6,0,0.901,23.72,9.362,9.345,5.074
Mb,1,1,8,2,4,43,10.13,43,,2,6.1,10.9,10.7,27.7,0.047058824,0.717,17.59,9.653,8.122,5.283
Mb,1,1,9,3,1,39.5,6.95,30,,2,4.3,5.4,6.6,16.3,0.230769231,0.822,20.33,7.341,13.14,2.88
Mb,1,1,10,3,2,78.5,10.03,43,,2,6.7,12,10.4,29.1,-0.153846154,1.251,20.69,6.285,7.725,7.979
Mb,1,1,11,3,3,64.5,8.73,41,,4,6.2,9.6,8.3,24.1,0.347826087,0.966,18.46,7.027,11.28,7.917
Mb,1,1,12,3,4,83,8.25,34,,4,6.6,7.8,9.4,23.8,0.2,1.324,17.29,5.879,9.197,8.467
Mb,1,1,13,4,1,59,7.99,28,,2,5.6,9.7,9.5,24.8,0.425531915,1.643,24.5,5.833,19.94,1.182
Mb,1,1,14,4,2,76,7.24,36,,3,6.1,7.2,7.3,20.6,0.285714286,1.296,20.66,6.215,13.74,8.342
Mb,1,1,15,4,3,55,8.74,28,,2,5.8,8.9,7.3,22,0.113636364,1.451,24.94,5.288,7.557,7.448
Mb,1,1,16,4,4,57.5,9.23,32,,2,6.1,10.4,9.1,25.6,0.302325581,1.051,20.93,10.51,6.359,9.512
Mb,1,2,1,1,1,43,6.92,17,,1,3.9,4.9,5.3,14.1,0.029411765,1.238,25.28,7.6,15.13,2.531
Mb,1,2,2,1,2,46,6.22,31,,3,5.1,5.3,4.3,14.7,0.20754717,1.211,27.88,8.336,2.749,10.34
Mb,1,2,3,1,3,71.5,9.04,26,,1,7.4,9.4,12.2,29,0.076923077,1.141,23.42,8.174,5.286,8.235
Mb,1,2,4,1,4,47.5,7.04,22,,1,4.8,6.5,6.6,17.9,-0.021276596,0.705,22.93,9.858,8.857,5.938
Mb,1,2,5,2,1,35.5,7.6,15,,1,3.8,4.9,5.6,14.3,0.322580645,1.405,22.35,6.392,6.401,7.442
Mb,1,2,6,2,2,43,6.03,21,,2,4.3,4.8,4.6,13.7,0.25,0.895,23.5,8.651,11.36,6.325
Mb,1,2,7,2,3,65,8.8,26,,3,5.3,10,9.1,24.4,-0.3125,1.106,22.76,6.386,10.27,6.76
Mb,1,2,8,2,4,46,9,37,,2,5.6,9.8,9.7,25.1,0.012195122,0.872,24.66,9.575,8.952,7.602
Mb,1,2,9,3,1,57,7,29,,2,4,6.2,6.5,16.7,0.106382979,,,,,
Mb,1,2,10,3,2,46,7.13,37,,2,5.2,6,5.8,17,0.511627907,1.309,22.57,5.77,10.24,8.218
Mb,1,2,11,3,3,83,9.11,33,,2,5.8,9.3,9.8,24.9,0.052631579,,,,,
Mb,1,2,12,3,4,62,8.03,27,,1,4.8,7.4,7.9,20.1,0.23880597,1.343,25.06,13.49,9.712,4.286
Mb,1,2,13,4,1,49.5,5.78,22,,1,4.9,4.9,5.6,15.4,0.093023256,,,,,
Mb,1,2,14,4,2,61.5,6.02,24,,2,5.2,6.3,6.1,17.6,0.714285714,1.281,21.28,7.611,8.9,8.643
Mb,1,2,15,4,3,45,5.82,19,,2,4,4.3,4.1,12.4,1,1.212,24.07,6.863,15.8,7.009
Mb,1,2,16,4,4,51,7.14,19,,2,4.5,5.8,6.7,17,1,1.373,25.03,9.163,11.81,7.483
Mb,1,3,1,1,1,27.5,5.77,16,,2,3.7,4.3,5.3,13.3,-0.235294118,0.617,16.72,9.091,5.792,4.448
Mb,1,3,2,1,2,48.5,6.56,18,,1,4.3,5.5,5.6,15.4,0.02173913,0.893,23.96,8.688,6.844,7.698
Mb,1,3,3,1,3,38,7.19,29,,2,4.5,5.3,5.1,14.9,-0.045454545,1.055,24.88,8.958,7.34,6.938
Mb,1,3,4,1,4,24,5.04,12,,1,3.2,4,4.6,11.8,0.1,1.227,22.95,10.31,5.764,18.79
Mb,1,3,5,2,1,31,4.8,13,,1,3.4,4.4,4.5,12.3,0,0.692,17.77,9.355,6.516,2.284
Mb,1,3,6,2,2,51.5,7.68,27,,1,4.4,5.4,7.7,17.5,-0.125,,,,,
Mb,1,3,7,2,3,44,5.51,22,,2,4.2,4.5,4.5,13.2,0.357142857,0.87,23.85,10.78,9.925,7.448
Mb,1,3,8,2,4,45,6.53,20,,1,4.3,5.6,6.4,16.3,0.1,,,,,
Mb,1,3,9,3,1,41,5.93,22,,2,3.9,4,4.7,12.6,1,1.674,29.44,9.458,16.62,2.727
Mb,1,3,10,3,2,55,5.33,21,,1,4.4,4.9,5,14.3,0.419354839,1.026,23.28,4.582,11.19,6.194
Mb,1,3,11,3,3,44.5,6.46,25,,2,4.6,5,5.6,15.2,0.214285714,1.021,25.31,6.587,12.07,6.806
Mb,1,3,12,3,4,31.5,5.44,19,,4,3.6,4.6,4.3,12.5,0.666666667,0.949,23.91,7.373,8.325,6.657
Mb,1,3,13,4,1,31,5.31,17,,2,3.8,4.4,5,13.2,1,1.104,22.05,5.892,11.84,2.207
Mb,1,3,14,4,2,48.5,9.42,38,,3,6,7.9,11.8,25.7,0.4375,0.684,16.33,7.693,5.703,4.367
Mb,1,3,15,4,3,50,6.55,18,,2,4.1,5.4,5.3,14.8,0.909090909,0.968,21.5,7.272,11.84,6.959
Mb,1,3,16,4,4,39,6.72,33,,2,4.6,4.8,4.8,14.2,0.447368421,1.517,25.09,7.967,12.85,8.845
Mb,1,4,1,1,1,37,6.48,15,,1,3.7,4.4,4.6,12.7,0.04,1.116,21.97,8.967,7.428,1.92
Mb,1,4,2,1,2,40.5,7.57,24,,2,4.7,6.4,7.2,18.3,-0.071428571,0.812,22.59,8.977,5.677,6.676
Mb,1,4,3,1,3,44,7.55,36,,3,5.7,5.3,7,18,-0.055555556,1.258,21.58,7.878,5.861,8.409
Mb,1,4,4,1,4,65,7.55,34,,2,5.8,8,6.8,20.6,0.157894737,1.116,23.64,8.022,6.959,8.282
Mb,1,4,5,2,1,48.5,6.6,21,,1,4.5,5,5.4,14.9,0.068965517,1.271,23.22,5.018,12.57,2.022
Mb,1,4,6,2,2,36,8.25,16,,1,3.9,5.4,6.6,15.9,0.134615385,1.075,28.61,8.19,9.393,3.643
Mb,1,4,7,2,3,31,5.28,12,,1,3.3,4.1,5.7,13.1,-0.181818182,0.874,20.74,7.294,7.678,4.925
Mb,1,4,8,2,4,31,5.83,26,,2,4.3,4.5,4.8,13.6,0.195121951,0.967,23.56,10.09,9.198,6.434
Mb,1,4,9,3,1,39.5,6.18,14,,1,4,4.6,5,13.6,0.347826087,0.933,23.72,8.547,13.15,2.661
Mb,1,4,10,3,2,30,6.32,15,,2,3.7,4.7,4.4,12.8,0.47826087,0.66,26.53,11.23,6.961,4.36
